Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	2277	160	0	21	10	11
0	58	0	2278	7	0	0	0	0
0	58	0	2280	53	0	0	0	0
0	58	0	2281	10	0	0	0	0
0	58	0	2283	12	0	0	0	0
0	58	0	2297	9	0	0	0	0
0	58	0	2302	23	0	5	4	1
0	58	0	2304	46	0	13	6	7
0	58	0	2311	30	0	0	0	0
0	58	0	2316	55	0	5	2	3
0	58	0	2319	28	0	0	0	0
0	58	0	2320	24	0	0	0	0
0	58	0	2326	9	0	0	0	0
0	58	0	2329	35	0	0	0	0
0	58	0	2343	35	0	0	0	0
0	58	0	2351	10	0	0	0	0
0	58	0	2352	26	0	0	0	0
0	58	0	2353	29	0	0	0	0
0	58	0	2360	9	0	6	3	3
0	58	0	2362	36	0	0	0	0
0	58	0	2363	34	0	0	0	0
0	58	0	2366	11	0	4	1	3
0	58	0	2367	23	0	0	0	0
0	58	0	2368	8	0	0	0	0
0	58	0	2371	56	0	0	0	0
0	58	0	2372	17	0	0	0	0
0	58	0	2375	8	0	0	0	0
0	58	0	2378	7	0	1	0	1
0	58	0	2380	24	0	0	0	0
0	58	0	2381	13	0	0	0	0
0	58	0	2386	7	0	0	0	0
0	58	0	2395	15	0	0	0	0
0	58	0	2399	7	0	0	0	0
0	58	0	2400	13	0	0	0	0
0	58	0	2401	10	0	3	0	3
0	58	0	2403	6	0	0	0	0
0	58	0	2413	23	0	0	0	0
0	58	0	2416	12	0	0	0	0
0	58	0	2417	9	0	0	0	0
0	58	0	2419	10	0	2	1	1
0	58	0	2421	304	0	44	21	23
0	58	0	2438	9	0	0	0	0
0	58	0	2442	54	0	0	0	0
0	58	0	2456	6	0	0	0	0
0	58	0	2462	53	0	0	0	0
0	58	0	2469	12	0	2	2	0
0	58	0	2470	6	0	0	0	0
0	58	0	2473	243	0	0	0	0
0	58	0	2478	195	0	34	17	17
0	58	0	2479	50	0	0	0	0
0	58	0	2485	14	0	5	3	2
0	58	0	2489	16	0	7	4	3
0	58	0	2492	6	0	1	1	0
0	58	0	2495	8	0	2	2	0
0	58	0	2498	7	0	2	0	2
0	58	0	2500	187	0	12	7	5
0	58	0	2503	42	0	0	0	0
0	58	0	2505	11	0	0	0	0
0	58	0	2506	99	0	14	7	7
0	58	0	2514	655	0	63	35	28
0	58	0	2517	136	0	21	9	12
0	58	0	2520	7	0	0	0	0
0	58	0	2522	325	0	28	11	17
0	58	0	2528	8	0	0	0	0
0	58	0	2530	27	0	2	2	0
0	58	0	2536	34	0	0	0	0
0	58	0	2542	47	0	0	0	0
0	58	0	2545	18	0	0	0	0
0	58	0	2552	10	0	0	0	0
0	58	0	2554	18	0	3	2	1
0	58	0	2556	26	0	3	1	2
0	58	0	2557	40	0	6	2	4
0	58	0	2558	23	0	2	1	1
0	58	0	2562	38	0	0	0	0
0	58	0	2563	28	0	0	0	0
0	58	0	2568	29	0	0	0	0
0	58	0	2569	8	0	4	2	2
0	58	0	2570	36	0	0	0	0
0	58	0	2571	12	0	0	0	0
0	58	0	2577	36	0	0	0	0
0	58	0	2578	49	0	2	1	1
0	58	0	2582	19	0	0	0	0
0	58	0	2585	5	0	0	0	0
0	58	0	2595	34	0	0	0	0
